"kapitola";"věta";"rozsudek";"komentář"
"I";"Postavil se k místu, kde dříve usedal k večeřím a víkendovým obědům, a pozoroval ji při balení cigaret.";"PONECHAT";"Nese informaci o jeho bývalém životě bez sentimentality, funkční."
"I";"Cigarety ubalené Klárkou měly jednu krásnou vlastnost – každá byla nepovedená trochu jinak.";"UPRAVIT";"""Krásnou"" je funkční ironický přívlastek. ""Trochu"" je slabé - zvážit ""každá nepovedená jinak"" bez ""trochu""."
"I";"Váleček papírku klouzal mezi jejími zažloutlými palci a ukazováčky.";"PONECHAT";"""Zažloutlými"" je funkční přívlastek (kouření, ne dekorace), silný tělesný detail."
"I";"Snad doufala, že po olíznutí a svinutí se dá ještě něco napravit.";"PONECHAT";"Dobrá ironie, úsporné."
"I";"„Možná, kdyby se u toho nehoupala, dopadlo by to pro jednou jinak,“ pomyslel si Tomáš.";"PONECHAT";"Přímá myšlenka udržuje živost scény, funkční."
"I";"Po roce kouření dokázala vyrobit úhlednou cigaretu jen svátečně, a to si ještě musela dávat obzvlášť záležet.";"UPRAVIT";"""Obzvlášť"" je vycpávka navíc k už jasnému ""musela dávat záležet"" - škrtnout."
"I";"Hotový váleček přidala k ostatním do stříbrné tabatěrky s orlicí svírající v drápech svastiku, kterou její děda na konci války údajně ukradl nějakému skopčákovi.";"PONECHAT";"Silný, temně ironický historický detail (nacistická tabatěrka jako rodinné dědictví), tematicky rezonuje s celou sbírkou - nesahat."
"I";"I přes znechucení pocítil nutkání ji pohladit po lýtku a zajet jí prsty do vlasů, jako to dělával dřív.";"PONECHAT";"Klíčová věta - fyzická touha ducha, který se nemůže dotknout, silný citový základ kapitoly."
"I";"Chytil by ji kolem ramen, políbil na tvář a Klárka by se usmála a pohledem do podlahy by se svůj úsměv pokusila skrýt.";"PONECHAT";"Podmiňovací způsob nese celou tragiku (nemůže to udělat) - nesahat."
"I";"Tomáš by o něm samozřejmě věděl, což by ho přimělo ji pohladit po tváři.";"SMAZAT";"Opakuje již řečené (hladění) a je logicky kruhová - neposouvá obraz dál, jen prodlužuje myšlenku, která už zazněla."
"I";"Přejel by jí prsty po místě, kde se poslední rok vrstvily vrásky a usychala kůže.";"PONECHAT";"Silný obraz stárnutí/žalu za rok jejich odloučení, dobrá pointa odstavce."
"I";"Odebral se do obývacího pokoje k obývací stěně s vitrínami a prosklenými skříněmi, jak se to podle zvyklostí dvacátého století ve východní Evropě dělalo.";"UPRAVIT";"""Podle zvyklostí dvacátého století ve východní Evropě"" je zbytečně esejistické vysvětlování - obraz ""obývací stěny"" čtenář sám dosadí. Zkrátit."
"I";"Pár fotek rodičů, sem tam podobizna náhodného důchodce, čajový servis z růžového porcelánu z výletu do Karlových Varů.";"PONECHAT";"Výčet konkrétních předmětů buduje atmosféru domácnosti přesně a úsporně."
"I";"Několik suvenýrů z dovolené v Itálii, které Klárka jednou nazvala kýčovinami, a mnoho další veteše, jako z výlohy židovského obchůdku, kterou Tomáš pro sebe nazval píčovinami.";"UPRAVIT / OVĚŘIT";"""Jako z výlohy židovského obchůdku"" nenese jasný obraz, spíš riziko - zvážit škrtnutí nebo nahrazení konkrétnějším přirovnáním (""jako z bazaru"", ""z vetešnictví"")."
"I";"Všem těm lapačům prachu dominoval jeho oblíbený rázostroj, postavený na čestném místě uprostřed komody.";"UPRAVIT";"""Čestném"" je klišé přívlastek. ""Lapačům prachu"" je dobrá ironická zkratka za veteš - ponechat tu, škrtnout ""čestném""."
"I";"Rázostroj – Newtonova houpačka – se skládal ze dvou rovnoběžných rámů na dřevěné desce.";"UPRAVIT";"Popisná/technická věta hraničící s návodem. Rázostroj je klíčový symbol (impuls = motiv knihy) - zvážit zkrácení popisu na nejnutnější minimum."
"I";"Na nich bylo zavěšeno osm kuliček z nerezové oceli o stejné hmotnosti, každá na vlastní houpačce, těsně vedle sebe.";"SMAZAT";"Přílišná technická preciznost zní jako z instrukčního manuálu, ne próza - zpomaluje bez emočního přínosu."
"I";"Palcem a ukazováčkem uchopil krajní kuličku, zvedl ji a pustil.";"PONECHAT";"Konkrétní gesto, dobré tempo, klíčové pro motiv ""impulzu""."
"I";"Kinetická energie se přenesla skrz celou řadu a vyhoupla kuličku na druhém konci.";"UPRAVIT";"""Kinetická energie"" je fyzikální terminologie, klinicky vytrhává z prózy - nahradit obrazně (""náraz proběhl řadou a na druhém konci vyskočila kulička"")."
"I";"Ta úkon zopakovala – zákon zachování energie a zákon zachování hybnosti.";"SMAZAT";"Učebnicové vysvětlení fyzikálního zákona v próze - stejný typ prohřešku jako pozdější ""plantární hyperémie"" v kap. XII. Obraz houpačky je jasný i bez fyzikálního výkladu."
"I";"Nahlédl do kuchyně.";"PONECHAT";"Krátká, funkční přechodová věta."
"I";"Klárka si přestala broukat, ale stále se houpala do rytmu.";"PONECHAT";"Dobrý detail, spojuje motiv hudby s motivem houpání (odkaz na rázostroj)."
"I";"Sedl si na podlahu do falešného tureckého sedu, jak to dělávají děti ve školce, když chce mít paní učitelka klid.";"UPRAVIT";"Přirovnání k dětem ve školce je roztomilé, ale přetažené - zvážit zkrácení na ""Sedl si na podlahu do tureckého sedu, jako dítě čekající na paní učitelku."""
"I";"Z obýváku měl krásný výhled na celé její tělo usazené za stolem.";"UPRAVIT";"""Krásný"" je generický přívlastek - škrtnout nebo nahradit konkrétnějším."
"I";"Chyběla mu.";"PONECHAT";"Nejúspornější a nejsilnější věta odstavce - holé přiznání citu po sérii pozorování. Nesahat."
"I";"Těžkopádným pohybem shodila nohy ze stolu.";"UPRAVIT / OVĚŘIT";"""Těžkopádným"" - ověřit, zda nese informaci o jejím psychickém stavu (otupělost), nebo je jen popisné vycpávkové adjektivum."
"I";"Na místě, kam došlápla pravou patou, a pak ještě tam, kde udělala první dva kroky, zůstaly drobné lesklé flíčky.";"PONECHAT";"Přesný stopovací detail (šlápoty od jogurtu), dobrá vizuální kontinuita s úvodem kapitoly."
"I";"Do jednoho z nich ještě jednou šlápla, když se vracela s hadrem.";"PONECHAT";"Drobná, groteskní komika, typická pro tón knihy."
"I";"Stůl dvakrát přejela a hadr vrátila na kuchyňskou linku.";"PONECHAT";"Úsporný popis rutinní akce, dobré tempo."
"I";"Tomáš byl vlastně rád, že ho předtím navlhčila vodou z kohoutku, a ne plivnutím.";"PONECHAT";"Černý humor přesně v tónu knihy, silná pointa odstavce."
"I";"Podívala se na hodiny na stěně, pak na hodinky na ruce; snad čekala, že na nich najde přívětivější čas a stihne přijít včas do práce.";"UPRAVIT";"""Přívětivější"" je hezká personifikace, ponechat. Věta spojuje dvě myšlenky středníkem - zvážit rozdělení pro lepší rytmus."
"I";"Poplácala se dlaněmi po bocích a pod pasem, zapomněvši, že oranžový župan nemá kapsy.";"PONECHAT";"Konkrétní komické gesto, archaizující ""zapomněvši"" dodává textu zvláštní rejstřík - funguje."
"I";"Několikrát se rozhlédla po místnosti, dvakrát se otočila kolem své osy, dokud si nevzpomněla, že tabatěrku nechala ležet na židli.";"UPRAVIT";"""Několikrát"" a ""dvakrát"" vedle sebe působí numericky rozporuplně/kostrbatě - zjednodušit."
"I";"Chňapla po pouzdru, přiložila si ho ke rtům a doufala, že jí cigareta přiletí do úst sama.";"PONECHAT";"Živý, přesný komický obraz zoufalé rutiny."
"I";"Zapalovač vzplál až na pátý pokus.";"PONECHAT";"Konkrétní detail, dobré tempo, ukazuje frustraci beze slov."
"I";"Při vdechnutí prvního šluku se rozběhla kobylím klusem z kuchyně ven na dvorek.";"UPRAVIT / OVĚŘIT";"""Kobylím klusem"" je nápadité, ale možná příliš exotické přirovnání pro tuto scénu - ověřit, zda sedí k celkovému stylu (viz podobné zvířecí přirovnání s ""provazochodkyní"" níže)."
"I";"Tomáš setrvával v tureckém sedu a čekal, až Klárka dokouří.";"PONECHAT";"Funkční přechod, drží scénickou kontinuitu."
"I";"Kuličky na rázostroji se pohupovaly téměř stejně rychle, jako když je rozhoupal.";"PONECHAT";"Návrat k symbolu impulzu/houpačky, dobrá stavební linka napříč odstavci."
"I";"Kousek od něj byl připíchnutý pohled od bratrance Matěje, zakoupený v letovisku na španělském pobřeží Costa Brava.";"UPRAVIT";"""Zakoupený v letovisku na španělském pobřeží"" je zbytečně popiskově přesné - zkrátit na ""pohled od bratrance Matěje z Costa Bravy""."
"I";"Fotografie zachycovala moře, žlutou linii písečné pláže, borovice a bílé domy.";"PONECHAT";"Konkrétní, obrazný výčet - dobrý kontrast k šedivé realitě kuchyně."
"I";"Tomáš si na chvíli představil, že jeden z těch domů je jeho – projel jím intenzivní záblesk lítosti.";"UPRAVIT";"""Intenzivní"" je nadbytečný přívlastek k už silnému ""záblesk lítosti"" - škrtnout."
"I";"To ho překvapilo, netušil, že je ještě takového citu schopen.";"PONECHAT";"Důležitá věta - ukazuje jeho postupné znovuobjevování emocí po smrti, tematicky klíčové."
"I";"Kuličky na rázostroji se dál pohupovaly, jen o trochu pomaleji.";"PONECHAT";"Dobrá uzavírací kadence odstavce - symbol dobíhajícího impulzu/energie."
"I";"Klárka se vrátila z cigarety – toho rána to byla už čtvrtá.";"PONECHAT";"Konkrétní detail (počítání cigaret) naznačuje míru její úzkosti bez přímého komentáře."
"I";"Zhluboka dýchala nosem a našlapovala po chodbě jako provazochodkyně bojící se fatálního zaškobrtnutí.";"UPRAVIT";"""Fatálního"" je nadbytečný, knižní přívlastek k už jasnému obrazu provazochodkyně - škrtnout."
"I";"Tomáš šel za ní po schodech nahoru.";"PONECHAT";"Prostý přechod, funkční."
"I";"Ve svých dvaceti devíti letech se šourala jako důchodkyně po návratu z LDN.";"PONECHAT";"Silný kontrast věku a fyzického stavu, LDN motiv se opakuje - dobrá stavební linka, nesahat."
"I";"Ložnici dominovala vysoká postel s tmavým dekorem dřeva.";"UPRAVIT";"""Vysoká"" a ""tmavým dekorem"" - dva přívlastky vedle sebe, zredukovat na jeden nejsilnější detail."
"I";"Bok postele se odrážel v zrcadle skříně zabírající celou stěnu.";"PONECHAT";"Dobrý prostorový detail, funkční pro následující scénu."
"I";"Po obou stranách stály dva identické noční stolky, jednovaječná dvojčata.";"PONECHAT";"""Jednovaječná dvojčata"" je vtipná, přesná metafora - dobrý příklad poetičnosti bez zbytečnosti, nesahat."
"I";"Na prvním stála lampa se zeleným stínítkem a mosazným zakrouceným stojanem, která se rozsvěcela a zhasínala taháním za zlatavý řetízek jako ve starých amerických detektivkách.";"UPRAVIT";"Tři přívlastky (""zeleným"", ""mosazným zakrouceným"", ""zlatavý"") na jednu lampu je moc - zredukovat na jeden až dva. Přirovnání k americkým detektivkám ponechat."
"I";"Pod ní měla Klárka položeného Jorise-Karla Huysmanse ve žlutém přebalu.";"PONECHAT";"Konkrétní literární odkaz (dekadentní autor) charakterizuje Klárku nepřímo - funkční detail."
"I";"Druhý stolek byl skromnější, ležela na něm jen nabíječka a balíček papírových kapesníčků.";"PONECHAT";"Dobrý kontrast k prvnímu stolku (Tomášova strana postele opuštěná), funkční."
"I";"Idylu dokreslovaly paprsky prosvítající skrz masivní dřevěné okenice toskánského zbarvení, které Tomáš nechal kdysi nainstalovat bez ohledu na přehnanou fakturu od truhláře.";"UPRAVIT";"""Masivní"", ""toskánského zbarvení"", ""přehnanou"" - tři přívlastky v jedné větě. Zredukovat, hlavní informace (jeho rozmařilost) lze zachovat úsporněji."
"I";"Za něco mu líto peněz prostě nebylo.";"PONECHAT";"Krátká, úsporná pointa charakterizující Tomáše - dobrý kontrast k následující větě."
"I";"I přesto v ložnici něco zoufale chybělo.";"UPRAVIT";"""Zoufale"" je silný, ale příliš explicitní přívlastek - věta funguje i bez něj, nechává čtenáře dovtípit se sám."
"I";"Tomáš si stoupl do svého oblíbeného rohu, odkud měl dobrý výhled jak na Klárčina záda, tak na zrcadlo, před kterým se upravovala.";"PONECHAT";"Funkční prostorová informace pro následující scénu."
"I";"Klárka se na chvíli otočila čelem k němu, jako by ho tam snad spatřila.";"PONECHAT";"Důležitý moment nejednoznačnosti (vidí ho, nebo ne?) - klíčový pro napětí duch/živí, nesahat."
"I";"Spustila ze sebe župan, vytáhla ze skříně náhodné spodní prádlo, zatímco kalhoty a vršek vyhrábla ještě nahá z odkládací hromady na pohovce.";"PONECHAT";"Konkrétní, nesentimentální popis rutiny, dobré tempo."
"I";"Oblečení si vybrala hlasitým očicháváním.";"PONECHAT";"Groteskní, přesný detail zanedbanosti - silný a úsporný."
"I";"Zvolila modré džíny a bílou halenku, která na ní visela jako plachta na galéře.";"PONECHAT";"Silné přirovnání (naznačuje hubnutí ze zármutku obrazně, ne přímo řečeno) - přesně ten typ poetičnosti, co chceš."
"I";"S patrně menším zájmem, než s jakým smetávala sůl a mák z housky, si hřbetem ruky otřela venkovní špínu z plosek nohou, nechala ji dopadnout na podlahu a natáhla si bílé ponožky.";"UPRAVIT";"Věta zatížená vloženou srovnávací klauzí, zpomaluje - zvážit rozdělení na dvě kratší věty pro lepší rytmus, obsah zachovat."
"I";"Tomáš nestačil postřehnout, zda si z achilovky smyla i zbytky jogurtu, a jen v to doufal.";"PONECHAT";"Uzavírá jogurtový motiv z úvodu kapitoly, dobrá stavební smyčka."
"I";"Blonďatou, po ránu rozpustilou hřívu zkrotila hřebenem improvizovaně vytvořeným z prstů.";"UPRAVIT";"""Blonďatou"" a ""po ránu rozpustilou"" - dva přívlastky k ""hřívě"", zvážit ponechat jen jeden. Metafora ""hříva"" je hezká, nesahat na ni."
"I";"Na koberci pod postelí stála jedna kozačka a vedle ní ležela druhá.";"PONECHAT";"Přesný vizuální detail nepořádku, dobrá kontinuita s motivem bot dále v textu."
"I";"Nepamatoval si značku, ale nosila je déle, než chodila s ním.";"PONECHAT";"Silná, tichá informace o délce jejich vztahu vs. věku bot - funguje bez vysvětlování."
"I";"Tisíce prošlapaných kilometrů se na nich podepsaly jen osobitou patinou.";"PONECHAT";"Motiv bot se vrací v kap. I odst. 22 (Alenčiny boty) - důležitá stavební linka napříč knihou, nesahat."
"I";"Cestou z domu prošla kolem hliníkové popelnice s umazaným víkem.";"UPRAVIT";"""Hliníkové"" a ""umazaným"" - dva přívlastky, zvážit ponechat jen jeden podstatný pro následující scénu."
"I";"Další cigaretu si nezapálila, bylo už po sedmé.";"PONECHAT";"Konkrétní časový detail, funkční, drží tempo rána."
"I";"U dveří stříbrné toyoty se zastavila a rozhlédla se po dvorku, jako by pátrala po někom, kdo ji sleduje.";"PONECHAT";"Klíčový moment - naznačuje, že možná cítí Tomášovu přítomnost, nesahat."
"I";"Upřela zrak na popelnici, před kterou stál Tomáš.";"PONECHAT";"Přesný, napjatý moment - dívá se přímo na místo, kde stojí duch."
"I";"Viděl jí přímo do očí.";"PONECHAT";"Krátká, silná věta, vrchol napětí odstavce."
"I";"Dvě zelené boule plovoucí v očním bělmu, schované za přivřenými víčky – nic víc.";"UPRAVIT / OVĚŘIT";"""Boule"" jako popis očí je nezvykle odlidštěný obraz - pokud je to záměr (Tomášovo klinické vnímání), ponechat; jinak zvážit méně anatomický výraz."
"I";"Tomáš nebyl ten typ, který by v lidských očích hledal něco víc než jen orgán pro vnímání, a poslední rok na tom nic nezměnil.";"UPRAVIT";"""Orgán pro vnímání"" je klinický výraz a věta hraničí s vysvětlující redundancí k předchozí (už obrazně řečeno) - zvážit zkrácení."
"I";"Jen ho na chvíli napadlo, že ho Klárka vidí.";"PONECHAT";"Klíčová naděje/otázka duchovské existence - nesahat."
"I";"Že se nedívá na popelnici, ale na něj, přímo do očí.";"PONECHAT";"Gradace předchozí věty, dobré tempo, krátké věty umocňují napětí."
"I";"Ten nesmysl ho přešel dřív, než nasedla do auta a odjela do školy.";"PONECHAT / OVĚŘIT";"Rezignovaný uzávěr napětí, funkční. ""Do školy"" - ověřit konzistenci s odst. 15, kde se mluví o ""práci""."
"I";"Nespal už 367 dní.";"PONECHAT";"Klíčová expoziční věta - odhaluje, že Tomáš je mrtvý/duch. Krátká, úderná, přesně na místě."
"I";"Tedy pokud dobře počítal.";"PONECHAT";"Dobrá ironická nejistota, krátké tempo."
"I";"Dávno nebyl schopen vnímat čas jako lidé.";"PONECHAT";"Funkční expozice."
"I";"Nerozuměl hodinám ani kalendáři, obvykle měl problém rozlišit den od noci.";"PONECHAT";"Konkrétní rozvedení předchozí věty, dobré tempo."
"I";"Občas se pokoušel zjistit čas z data uvedeného v novinách, ale číslice mu připadaly cizí jako egyptské hieroglyfy.";"PONECHAT";"Silné přirovnání, funguje."
"I";"Někdy se mu podařilo datum přečíst a výjimečně pochopil jeho význam, ale nikdy si ho nedokázal zapamatovat.";"UPRAVIT";"Redundantní gradace (přečíst/pochopit/zapamatovat) - lze zkrátit beze ztráty informace."
"I";"Nevadilo mu to, našel si vlastní způsob měření času – sledováním Kláry.";"PONECHAT";"Klíčová, krásná věta - shrnuje celý vztah duch/živá jednou metaforou, nesahat."
"I";"Jedna vykouřená cigareta se dle jeho odhadu rovnala dvěma až třem minutám, jedno nervózní škubnutí koutků jejích úst mohlo odpovídat jedné sekundě.";"PONECHAT";"Konkrétní, originální systém měření - silně poetické a přesně v duchu knihy (viz ""impulz"", houpačka), nesahat."
"I";"Skvělým indikátorem bylo její prádlo.";"UPRAVIT";"""Skvělým"" je generický přívlastek - zvážit škrtnutí, věta funguje i bez něj."
"I";"Podle toho, jak si měnila prádlo, dokázal poznat den v týdnu.";"PONECHAT";"Funkční rozvinutí předchozí myšlenky."
"I";"Do školy střídala jedny modré rifle a v teplých měsících nosila růžovo-bílé šaty s květovaným vzorem.";"PONECHAT / OVĚŘIT";"Konkrétní, vizuální detail - ""do školy"" potvrzuje otázku z odst. výše (studuje/učí?), ověřit kontinuitu napříč knihou."
"I";"Ve volných dnech si pak vystačila s jedněmi černými tepláky, které si prala každou druhou neděli.";"PONECHAT";"Dobrý detail rutiny/zanedbanosti."
"I";"Deštník a mokrý kabát v předsíni zase prozrazovaly, že venku prší.";"PONECHAT";"Uzavírá výčet indikátorů, funkční, úsporné."
"I";"Tomáš totiž kromě schopnosti vnímat čas přestal vnímat i déšť, teplo, zimu, bolest a většinu emocí.";"UPRAVIT";"Výčet pěti položek je trochu dlouhý - zvážit zredukování na tři nejsilnější (např. ""teplo, bolest, většinu emocí"")."
"I";"Celý svět i zbytky vlastní existence vnímal skrze Klárku.";"PONECHAT";"Silná, poetická uzavírací věta odstavce - tematické jádro celé knihy, nesahat."
"I";"Teď, když byla v práci, se musel zabavit jinak.";"OVĚŘIT";"""V práci"" vs. ""do školy"" v odst. výše - možná nesrovnalost (studuje, nebo pracuje?), nebo ""škola"" = její pracoviště (učitelka?). Ověřit s autorem kvůli konzistenci napříč knihou."
"I";"Napadlo ho, že by se mohl vydat hledat odpověď na otázku, jak se zbavit utrpení.";"PONECHAT";"Funkční expozice následující pouti."
"I";"Neměl ponětí, kam jít, tak se vydal po ulici v domnění, že se při náhodném odbočování dokáže ztratit.";"PONECHAT";"Dobrý přechod do scény bloudění."
"I";"Co jsem komu udělal, pomyslel si.";"PONECHAT";"Úsporná, univerzální otázka trápení - silná."
"I";"Někde za hvězdami, mimo čas a prostor, sledoval Bůh Tomášovo utrpení a jen si pomyslel: LOL.";"PONECHAT";"Odvážný anachronický zásah (""LOL"") - přesně v černohumorném tónu knihy, silná pointa, nesahat."
"I";"Ještě že Bůh dávno zemřel.";"PONECHAT";"Motiv ""mrtvého Boha"" se vrací v kap. XII (dialog s Garnierem) - důležitá stavební linka napříč knihou, nesahat."
"I";"Dvě řady natěsnaných rodinných domků, částečně schovaných za mladými kaštany.";"PONECHAT";"Dobrý úvodní obraz předměstí, funkční."
"I";"Předměstská čtvrť, po které každý chlap toužil v naději, že si tam založí rodinu a od června do října bude pořádat grilovačky pro přátele, co mu zůstali věrní i po třicítce.";"UPRAVIT";"Esejisticky dlouhá věta - myšlenka (typické předměstské klišé) je jasná dřív, než věta skončí, zkrátit."
"I";"Taková ta parta složená z bratranců, sourozenců a možná jednoho spolužáka ze základky, kterému se nikdy moc nedařilo.";"PONECHAT";"Dobrá, přesná sociální charakteristika, funguje jako uzavření předchozí věty."
"I";"Prošel první prošlapanou odbočkou mezi ploty a záměrně se vyhnul známým cestám.";"PONECHAT";"Funkční, konkrétní."
"I";"Ocitl se na Plajnerově ulici, vzdálené sotva pár set metrů od domova.";"PONECHAT";"Konkrétní topografie, dobré zakotvení scény."
"I";"Ztratit se ve městě, které znal šest let a celý poslední rok se v něm bezcílně toulal, nebylo snadné.";"PONECHAT";"Funkční, spojuje časové údaje (šest let, poslední rok) konzistentně s ""367 dny""."
"I";"Došel na konec ulice a na křižovatce se vydal méně pravděpodobnou cestou.";"PONECHAT";"Dobré tempo, konkrétní."
"I";"Učinil tak ještě šestkrát a doufal, že se nešťastnou kombinací zatáček nedostane zpátky domů.";"PONECHAT";"Funkční, ironické (""nešťastnou"" - i doma je mu nedobře)."
"I";"Jen co se propletl šesti stromořadími, uviděl za městskou zástavbou sytě žluté pole dosud nesklizeného obilí.";"UPRAVIT";"""Sytě"" je nadbytečný přívlastek k ""žluté"" - škrtnout."
"I";"Bylo bahnité od včerejšího deště a nedaleko za ním se tyčil smrkový les.";"PONECHAT";"Konkrétní, funkční přechod do krajiny."
"I";"Vydal se přes zablácené pole po žluté stezce, která končila až u něj.";"PONECHAT";"Dobrá kompozice, uzavírá odstavec pohybem k lesu."
"I";"Byl říjen a ten se nedal ošálit slunečními paprsky a bezmračnou oblohou.";"PONECHAT";"Silný úvod do metafory podzimu/umírání, funguje."
"I";"Poslední říjnové projevy léta jsou jako umírající důchodce na oddělení LDN.";"PONECHAT";"Klíčová metafora, propojuje se s LDN motivem u Klárky - důležitá stavební linka, nesahat."
"I";"Z posledních sil září kolem sebe, směje se na vnoučata a dospělé potomky seřazené kolem lůžka.";"PONECHAT";"Rozvíjí metaforu konkrétně a dojemně, funguje."
"I";"Natáhne k nim rozklepané ruce; tam, kde dříve pronikaly obrysy svalů, vystoupily jaterní skvrny.";"PONECHAT";"Silný, tělesný obraz stárnutí - dobré pokračování metafory."
"I";"Jeho syn, otec přítomných dětí, prohlásí chlácholivou lež, ale všichni vědí, že vzduch už teplejší nebude.";"PONECHAT";"Dobrá pointa metafory - ironie/smíření se smrtí."
"I";"Je podzim.";"PONECHAT";"Krátká, úderná věta - dobrý kontrast po dlouhé metafoře, ukončuje odbočku."
"I";"Za pár týdnů zasněží a staříkovy ruce už zůstanou bezvládné.";"PONECHAT";"Silné zakončení metafory smrti, nesahat."
"I";"Tomáš si nepamatoval cestu lesem – pokud tedy vůbec nějaká byla.";"PONECHAT";"Funkční, dobrá nejistota (duch ztrácí orientaci v prostoru/čase)."
"I";"K sobě přišel v Horních Březanech.";"PONECHAT";"Konkrétní topografie, funkční přechod."
"I";"„Takhle to dál nejde. Mysli, Tomáši!“ řekl si.";"PONECHAT";"Přímá řeč, dobrý dramatický zlom."
"I";"Uvědomoval si, že tady nenajde, co hledá, ať už to bylo cokoliv.";"PONECHAT";"Funkční, drží linii hledání."
"I";"Musel se dostat z uzavřeného prostoru svého města a okolí.";"PONECHAT";"Funkční, konkrétní cíl."
"I";"Zbavit se otěží nostalgie, odhodit je jako ohlodané kosti hladovým psům.";"PONECHAT";"Silná, originální metafora - nesahat."
"I";"Tomáš už byl přežraný.";"PONECHAT";"Krátká, úderná pointa navazující na metaforu psů/kostí."
"I";"Snad Plzeň by nebyla špatná, kdysi měl rád tamější pivo.";"PONECHAT";"Konkrétní, lidský detail, dobré odlehčení."
"I";"Mohl by zkusit ještě Jihlavu, na škole tam měl poměr s jistou Lenkou, nebo se možná jmenovala Alenka.";"PONECHAT";"Nejistota jména je dobrý detail - ukazuje, jak vzdálený a nedůležitý mu ten vztah dnes je."
"I";"Už ani nevěděl, proč mu to s ní nevyšlo, pamatoval si jen, že to byl jeden z lepších vztahů.";"PONECHAT";"Funkční, prohlubuje charakterizaci."
"I";"Jak znal Alenku, pravděpodobně už měla vlastní rodinu.";"PONECHAT";"Funkční přechod k následující úvaze."
"I";"Bývala konzervativnější a na založení rodiny spěchala rychleji, než se mu líbilo.";"PONECHAT";"Dobrý kontrast k jeho vztahu s Klárkou, charakterizační detail."
"I";"Za tu dobu si jistě našla jiného a už měli spolu jedno nebo dvě děti.";"PONECHAT";"Funkční pokračování úvahy."
